Frequency (Hz) - Data	Amplitude (V) - Data	
650.267	0.00499352	0.000161
700.228	0.00563785	0.000161
750.299	0.0051546	0.000161
850.117	0.00644326	0.000161
900.238	0.00612109	0.000161
950.169	0.00724866	0.000161
1000.19	0.0069265	0.000161
1050.18	0.00773191	0.000161
1100.23	0.00837623	0.000161
1150.16	0.00853731	0.000161
1200.34	0.00966488	0.000161
1300.17	0.00966488	0.000161
1350.27	0.0109535	0.000161
1450.3	0.0120811	0.000161
1500.19	0.0140141	0.000161
1600.22	0.0143362	0.000161
1650.09	0.0149806	0.000161
1700.28	0.0165914	0.000161
1750.16	0.017719	0.000161
1800.26	0.0175579	0.000161
1850.21	0.0190076	0.000161
1900.28	0.0190076	0.000161
1950.21	0.0206184	0.000161
2000.15	0.0201352	0.000161
2050.17	0.0225514	0.000161
2100.11	0.0233568	0.000161
2150.25	0.0240011	0.000161
2200.18	0.0246455	0.000161
2250.24	0.0249676	0.000161
2300.19	0.0270617	0.000161
2350.31	0.0275449	0.000161
2400.22	0.0278671	0.000161
2450.1	0.0298001	0.000161
2500.25	0.0304444	0.000161
2550.16	0.0322163	0.000161
2600.26	0.0338271	0.000161
2650.16	0.0367266	0.000161
2700.29	0.0381763	0.000161
2750.22	0.0393039	0.000161
2800.12	0.0409147	0.000161
2850.27	0.0418812	0.000161
2900.17	0.0447806	0.000161
2950.3	0.0442974	0.000161
3000.18	0.0465525	0.000161
3050.29	0.0478412	0.000161
3100.18	0.0500963	0.000161
3150.27	0.0523514	0.000161
3200.22	0.0526736	0.000161
3250.17	0.0549287	0.000161
3300.22	0.0567006	0.000161
3350.19	0.0583115	0.000161
3400.26	0.0597612	0.000161
3450.21	0.0624996	0.000161
3500.35	0.0631439	0.000161
3550.27	0.065399	0.000161
3600.18	0.0681374	0.000161
3650.24	0.0694261	0.000161
3700.19	0.0715201	0.000161
3750.3	0.0742585	0.000161
3800.17	0.0763526	0.000161
3850.27	0.0787688	0.000161
3900.25	0.0802185	0.000161
3950.09	0.0834402	0.000161
4000.24	0.0853731	0.000161
4050.14	0.0874672	0.000161
4100.3	0.0906888	0.000161
4150.21	0.0926218	0.000161
4200.36	0.0947158	0.000161
4250.18	0.0968099	0.000161
4300.27	0.0982596	0.000161
4350.24	0.100998	0.000161
4400.11	0.102448	0.000161
4450.25	0.105347	0.000161
4500.21	0.106797	0.000161
4550.32	0.110341	0.000161
4600.17	0.11179	0.000161
4650.31	0.114529	0.000161
4700.22	0.117428	0.000161
