Frequency (Hz) - Data	Amplitude (V) - Data
8000,11	1,20519
8000,22	1,20492
8000,13	1,20503
8000,11	1,20478
8000,04	1,20513
8000,12	1,20488
8000,11	1,20509
8000,15	1,20499
8000,17	1,20504
8000,09	1,20484
8000,12	1,20504
8000,1	1,20509
8000,13	1,20518
8000,18	1,20494
8000,2	1,20514
8000,21	1,20528
8000,18	1,20509
8000,12	1,20526
8000,14	1,20522
8000,12	1,20534
8000,24	1,20526
8000,09	1,20524
8000,14	1,20503
8000,14	1,20507
8000,21	1,20528
8000,11	1,20523
8000,11	1,20509
8000,16	1,20521
8000,08	1,20527
8000,1	1,20525
8000,15	1,20528
8000,22	1,20521
8000,15	1,20503
8000,1	1,20532
8000,08	1,2054
8000,1	1,20526
8000,14	1,20522
8000,15	1,20517
8000,11	1,20519
8000,12	1,20522
8000,15	1,2052
8000,12	1,20511
8000,19	1,20523
8000,1	1,20511
8000,23	1,20518
8000,17	1,20505
8000,14	1,20496
8000,14	1,20514
8000,15	1,20522
8000,17	1,205
8000,08	1,20513
8000,14	1,2051
8000,17	1,205
8000,19	1,20512
8000,1	1,20509
8000,05	1,20497
8000,14	1,20518
8000,11	1,20494
8000,1	1,20508
8000,17	1,20511
8000,15	1,20491
8000,06	1,20493
8000,2	1,20491
8000,15	1,20503
8000,13	1,20497
8000,26	1,20494
8000,1	1,20505
8000,1	1,20508
8000,11	1,20517
8000,22	1,20492
8000,11	1,20496
8000,16	1,20484
8000,15	1,205
8000,08	1,20492
8000,1	1,20491
8000,16	1,20495
8000,1	1,20505
8000,14	1,20493
8000,18	1,20495
8000,14	1,20494
8000,23	1,20506
8000,19	1,20494
8000,09	1,20497
8000,16	1,20503
8000,18	1,20499
8000,13	1,20478
8000,14	1,20484
8000,11	1,20511
8000,12	1,20493
8000,17	1,20491
8000,13	1,205
8000,03	1,20487
8000,1	1,20509
8000,17	1,20499
8000,08	1,20488
8000,13	1,20503
8000,17	1,20508
8000,13	1,20501
8000,2	1,20494
8000,1	1,20486
8000,23	1,2049
8000,19	1,20487
8000,11	1,20492
8000,15	1,20488
8000,07	1,20512
8000,16	1,205
8000,09	1,20499
8000,2	1,20513
8000,11	1,20502
8000,17	1,20496
8000,16	1,20489
8000,15	1,20511
8000,12	1,20501
8000,22	1,20501
8000,05	1,20497
8000,19	1,20509
8000,15	1,20514
8000,14	1,20507
8000,17	1,20507
8000,13	1,20491
8000,16	1,20496
8000,09	1,20492
8000,19	1,20504
8000,21	1,20488
8000,07	1,20505
8000,15	1,20484
8000,13	1,20483
8000,1	1,20491
8000,1	1,20502
8000,13	1,20472
8000,15	1,20469
8000,04	1,20481
8000,15	1,20479
8000,15	1,2049
8000,07	1,205
8000,22	1,20495
8000,08	1,20487
8000,07	1,20499
8000,11	1,20495
8000,26	1,20487
8000,19	1,20485
8000,12	1,20507
8000,13	1,20496
8000,2	1,20486
8000,09	1,20468
8000,17	1,20503
8000,15	1,20488
8000,04	1,20484
8000,13	1,20489
8000,13	1,2049
8000,13	1,20491
8000,13	1,20475
8000,13	1,20494
8000,12	1,20502
8000,06	1,2049
8000,17	1,20497
8000,16	1,2049
8000,1	1,20491
8000,14	1,20498
8000,12	1,20504
8000,19	1,20498
8000,2	1,2051
8000,19	1,20493
8000,16	1,20492
8000,05	1,20484
8000,14	1,20501
8000,16	1,20492
8000,11	1,20487
8000,15	1,20472
8000,07	1,20498
8000,14	1,20504
8000,17	1,20497
8000,16	1,20482
8000,14	1,20485
8000,09	1,20473
8000,17	1,20484
8000,19	1,20487
8000,11	1,20482
8000,13	1,20497
8000,06	1,20501
8000,1	1,20494
8000,12	1,205
8000,19	1,20502
8000,13	1,20496
8000,15	1,20482
8000,06	1,20499
8000,06	1,20475
8000,12	1,20495
8000,16	1,20478
8000,15	1,20486
8000,09	1,20479
8000,17	1,20473
8000,19	1,20492
8000,17	1,20475
8000,12	1,20498
8000,12	1,20478
8000,11	1,20471
8000,17	1,20513
8000,12	1,20484
8000,18	1,20472
8000,21	1,20496
8000,11	1,20484
8000,16	1,20488
8000,15	1,20492
8000,13	1,2047
8000,16	1,20496
8000,15	1,20475
8000,15	1,20486
8000,06	1,20481
8000,17	1,20509
8000,01	1,20473
8000,16	1,20481
8000,08	1,20481
8000,21	1,20439
8000,13	1,2047
8000,16	1,20482
8000,13	1,20486
8000,04	1,2049
8000,1	1,20483
8000,15	1,20488
8000,21	1,20489
8000,17	1,20491
8000,12	1,2049
8000,13	1,20491
8000,12	1,20497
8000,11	1,20479
